Code_Postal;Diff_ConsoResidentiel;Diff_ConsoProfessionel;ConsoResidentielTotal;ConsoProfessionelTotal;Commune;Diff_ConsoIndustriel;ConsoIndustrielTotal;Diff_ConsoTertiaire;ConsoTertiaireTotal
17046;255.085577;-51.659708;9019.292423;1255.415412;Bignay;245.891279;245.891279;18.773376;87.288502
17047;265.863715;-97.728224;4335.637903;1172.042701;Biron;0.000000;0.000000;0.000000;0.000000
17048;259.976882;92.822441;6694.916762;1300.684488;Blanzac-lès-Matha;-223.432550;10912.697890;-341.783171;2391.327759
17049;21.442950;12.409296;2203.000862;483.391568;Blanzay-sur-Boutonne;0.000000;0.000000;100.529989;237.299989
17050;794.475449;115.588469;9314.030116;2517.754205;Bois;0.000000;0.000000;311.109876;1295.435082
17051;8342.380799;1621.205734;111826.275337;17092.351881;Le Bois-Plage-en-Ré;55.751418;5796.537156;2346.681508;31693.603041
17052;1458.024212;64.181672;14291.223612;2260.978036;Boisredon;0.000000;0.000000;-23.077866;103.584963
17053;1271.387543;36.934553;25877.393177;3476.634468;Bords;393.996222;737.402169;-306.865887;1041.764408
17054;295.026019;128.348000;3554.516005;711.276569;Boresse-et-Martron;-260.266960;292.334935;0.000000;0.000000
17055;-492.612074;-105.925222;3721.131256;429.912482;Boscamnant;0.000000;0.000000;-992.811775;4848.990457
17056;1293.059474;23.979239;11971.205826;1159.100071;Bougneau;0.000000;0.000000;20.992660;335.146120
17057;1333.017239;177.249166;14523.221620;797.898511;Bouhet;0.000000;0.000000;746.344366;3745.564417
17058;3823.907951;-379.441684;75358.017394;17857.625096;Bourcefranc-le-Chapus;1003.044531;2051.612105;633.292861;11536.028609
17059;2977.636161;-210.657289;26711.015142;2300.582151;Bourgneuf;0.000000;0.000000;152.120844;587.148682
17060;307.284051;100.210365;4961.352123;1469.582428;Boutenac-Touvent;0.000000;0.000000;0.000000;0.000000
17061;-20.298337;41.810200;2529.410956;756.942208;Bran;0.000000;0.000000;0.000000;0.000000
17062;396.036554;-150.105600;5104.553886;894.997816;Bresdon;0.000000;0.000000;-50.194965;278.445316
17063;471.244088;88.397867;8256.707613;2768.868565;Breuil-la-Réorte;0.000000;0.000000;-7.394983;27.768053
17064;4415.683622;-192.323711;75304.945196;8950.156476;Breuillet;351.149217;351.149217;862.030891;8190.451976
17065;823.487368;99.382929;30835.774368;3412.446032;Breuil-Magné;0.000000;0.000000;182.934198;1331.591929
17066;341.617257;164.296111;4792.484469;2381.755975;Brie-sous-Archiac;31.412857;144.247165;801.992566;1605.768518
17067;143.644553;43.629168;3073.395758;928.473189;Brie-sous-Matha;-77.785363;689.946258;10.501799;141.286283
17068;338.548158;-45.314651;4660.749565;1398.323274;Brie-sous-Mortagne;-5.947168;95.661451;4.313805;24.758968
17069;352.892231;-52.912184;4816.776078;644.755066;Brives-sur-Charente;0.000000;0.000000;0.000000;0.000000
17070;1576.403991;291.170935;17758.771811;3633.500990;Brizambourg;71.857602;71.857602;-31.044998;803.233628
17071;731.990770;-115.326794;10216.240015;1039.712216;La Brousse;0.000000;0.000000;90.032401;758.510906
17072;770.904137;-31.241089;26167.391705;6200.327758;Burie;-523.774594;2115.387164;71.975354;3381.178337
17073;1115.518637;-71.134075;26547.374249;1320.288260;Bussac-sur-Charente;118.690939;118.690939;138.104214;977.154906
17074;1525.833599;145.661492;20136.313531;2966.650235;Bussac-Forêt;-700.243379;1858.577992;104.444834;1432.143616
17075;1236.759515;29.406094;25185.435546;3224.838234;Cabariot;0.000000;0.000000;117.951281;2952.759819
17076;114.135657;31.823392;5505.727012;1787.687798;Celles;0.000000;0.000000;0.000000;0.000000
17077;2402.823467;12.063497;21793.360133;2966.241180;Cercoux;0.000000;0.000000;48.201795;732.713039
17078;1104.952969;0.119687;7386.890101;2547.047270;Chadenac;-10443.270851;3507.800953;-44.199727;1824.798308
17079;2914.341150;178.499484;34784.279728;3966.623188;Chaillevette;-83.124658;268.588620;407.645134;875.275144
17080;952.040026;234.152492;19041.432398;1719.865381;Chambon;-174.994519;378.713199;880.029961;6193.477077
17081;382.044655;81.244928;6942.707078;845.525743;Chamouillac;19.030525;835.083593;0.000000;0.000000
17082;1697.358733;179.042716;9931.185691;1832.152128;Champagnac;0.000000;0.000000;-7.298632;1598.103285
17083;664.417696;21.821688;12902.330162;2085.744350;Champagne;-85.369887;226.857030;1800.418430;9238.513790
17084;1125.976260;-22.865273;11781.958509;2715.565531;Champagnolles;-37.444088;182.974949;668.257934;1799.782492
17085;194.500059;21.065914;7270.707172;704.265748;Champdolent;0.000000;0.000000;0.000000;0.000000
17086;5682.789762;605.425198;67806.014703;9584.035840;Chaniers;326.909884;652.936624;-440.862876;3424.415245
17087;904.101727;23.728301;4121.002217;474.974499;Chantemerle-sur-la-Soie;-315.778350;773.079901;0.000000;0.000000
17089;799.152154;63.190457;15703.944516;1532.219526;La Chapelle-des-Pots;-310.883226;68.323845;-382.765515;1332.920883
17091;3749.181830;622.193857;39576.298415;8010.188802;Charron;127.440987;127.440987;-565.515899;2051.961613
17092;255.794358;-15.800682;2577.415651;426.835332;Chartuzac;0.000000;0.000000;0.000000;0.000000
17093;10461.569337;386.474222;113122.671530;26684.201843;Le Château-d'Oléron;568.192145;3039.838811;419.373333;18334.944209
17094;-36829.950837;-10821.852672;90895.207908;20782.640688;Châtelaillon-Plage;53.854639;2827.872743;5922.900217;47209.515980
17095;-1204.856122;-212.000095;3229.209796;342.449087;Chatenet;0.000000;0.000000;0.000000;0.000000
17096;0.000000;0.000000;0.000000;0.000000;Chaunac;0.000000;0.000000;0.000000;0.000000
17097;915.029660;-28.988152;14148.180077;1541.645109;Le Chay;0.000000;0.000000;312.257345;1252.820651
17098;987.425396;19.018110;14008.987658;1159.299205;Chenac-Saint-Seurin-d'Uzet;0.000000;0.000000;-317.299147;4623.942878
17099;1161.615247;-81.089286;12519.936506;2485.647194;Chepniers;0.000000;0.000000;0.000000;0.000000
17100;290.878707;70.717699;21068.491139;3038.974773;Chérac;-164.496368;2957.169877;628.738174;1666.180312
17101;523.085476;-168.000067;7566.634554;667.124556;Cherbonnières;0.000000;0.000000;11.457931;248.789166
17102;1661.531192;163.121726;25879.673783;2645.317457;Chermignac;0.000000;0.000000;367.978198;505.864036
17103;213.874117;98.258426;3981.799583;516.062183;Chervettes;0.000000;0.000000;73.948982;73.948982
17104;1077.832021;4.440466;17884.229099;6317.600678;Chevanceaux;3056.953479;9179.086869;170.277863;2961.467746
17105;178.264578;66.362018;6993.012920;1472.883925;Chives;-28.021648;1161.404022;881.669661;5245.444461
17106;511.035017;36.234498;4941.491260;959.076894;Cierzac;0.000000;0.000000;0.000000;0.000000
17107;2825.116419;32.770485;24708.027909;3462.937241;Ciré-d'Aunis;-66.365880;1052.551155;-301.473556;802.649432
17108;1159.180148;73.412995;7791.610663;1641.652510;Clam;0.000000;0.000000;14.849900;152.834525
17109;2028.579404;92.938214;27587.106425;1804.961852;Clavette;121.024220;996.904961;693.390586;1530.025588
17110;2907.361961;445.448721;18404.156814;2365.643023;Clérac;-2176.636345;85248.015721;1706.657379;12362.486991
17111;1727.730929;217.239518;16882.834203;2598.020630;Clion;0.000000;0.000000;16.231793;1097.169570
17112;1766.943593;22.249199;13212.460660;622.164840;La Clisse;0.000000;0.000000;144.509098;1317.571148
17113;1238.571099;-186.043964;12785.958305;1652.695923;La Clotte;232.029293;1034.209828;158.866919;2021.066594
17114;314.854139;-57.281963;4448.882705;438.977931;Coivert;0.000000;0.000000;0.000000;0.000000
17115;379.503986;-534.280949;6744.903512;688.758544;Colombiers;0.000000;0.000000;0.000000;0.000000
17116;208.875637;168.707171;4720.167854;1102.959292;Consac;236.301545;1377.205595;0.000000;0.000000
17117;-2019.620561;-138.400832;403.924112;27.680166;Contré;0.000000;0.000000;0.000000;0.000000
17118;963.017862;129.810943;6427.162685;640.826882;Corignac;0.000000;0.000000;0.000000;0.000000
17119;1626.892292;87.458413;23681.249890;1752.640809;Corme-Écluse;70.485566;70.485566;14.159313;348.727098
